ID,Plot,Species,Aboveground,Belowground,Harvest Notes,Height (cm),Diameter Base (cm),TotalWetMass,Total Branches (g),Total Petioles (g),Stem (g), Roots (g),Leaf Count,LeafAveMass,TotalLeafMass,Area.1,AreaC.1,WetMass.1,TotArea.1,Area.2,AreaC.2,TotArea.2,WetMass.2,Area.3,AreaC.3,TotArea.3,WetMass.3,Area.4,AreaC.4,TotArea.4,WetMass.4,Area.5,AreaC.5,TotArea.5,WetMass.5,Area.6,AreaC.6,TotArea.6,WetMass.6,Area.7,AreaC.7,TotArea.7,WetMass.7,Area.8,AreaC.8,TotArea.8,WetMass.8,Area.9,AreaC.9,TotArea.9,WetMass.9,Area.10,AreaC.10,TotArea.10,WetMass.10,Area.11,AreaC.11,TotArea.11,WetMass.11,Area.12,AreaC.12,TotArea.12,WetMass.12,Area.13,AreaC.13,TotArea.13,WetMass.13,Area.14,AreaC.14,TotArea.14,WetMass.14,Area.15,AreaC.15,TotArea.15,WetMass.15,Area.16,AreaC.16,TotArea.16,WetMass.16,WetMass.17,WetMass.18,WetMass.19,WetMass.20,WetMass.21,WetMass.22,WetMass.23,WetMass.24,WetMass.25,WetMass.26,WetMass.27,WetMass.28,WetMass.29,WetMass.30,WetMass.31,WetMass.32,WetMass.33,WetMass.34,WetMass.35,WetMass.36,WetMass.37,WetMass.38,WetMass.39
171,15.4,Cymbopetalum baillonii,Covered,Protected,,10,0.3,1.23,0.06,,0.3,0.09,9,0.087,0.780,7.37,0,0.09,7.37,18.516,0.002,18.518,0.21,7.781,0,7.781,0.08,,,0,0.11,,,0,0.06,,,0,0.17,,,0,0.04,,,0,0.01,,,0,0.01,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
174,15.4,Sapindus saponaria,Covered,Protected,,16,0.4,1.64,,0.01,0.8,0.49,2,0.170,0.340,25.393,0.009,0.16,25.402,,,0,0.18,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
175,15.4,Cymbopetalum baillonii,Covered,Protected,Fern burst through,19,0.4,2.35,0.12,,0.61,0.33,10,0.129,1.290,11.04,0.009,0.1,11.049,17.619,0,17.619,0.22,10.829,0,10.829,0.11,,,0,0.13,,,0,0.07,,,0,0.22,,,0,0.13,,,0,0.13,,,0,0.09,,,0,0.09,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
187,15.4,Sapindus saponaria,Exposed,Unprotected,,129,3,335.68,,3.18,139.85,115.75,31,2.481,76.900,237.767,0.003,3.43,237.77,,,0,3.18,,,0,14,,,0,2.15,,,0,3.19,,,0,2.19,,,0,0.46,,,0,2.54,,,0,1.33,,,0,1.16,,,0,0.86,,,0,2.2,,,0,3.34,,,0,2.44,,,0,2.73,,,0,2.52,2.43,0.83,3.43,2.34,2.3,2.85,1.95,3.12,1.67,1,1.24,1.56,0.28,2.1,2.08,,,,,,,,
191,15.4,Cymbopetalum baillonii,Covered,Unprotected,,21,0.4,3.22,0.16,,0.59,0.64,15,0.122,1.830,16.047,0,0.19,16.047,23.362,0,23.362,0.29,10.509,0,10.509,0.12,,,0,0.17,,,0,0.11,,,0,0.08,,,0,0.16,,,0,0.18,,,0,0.2,,,0,0.08,,,0,0.09,,,0,0.13,,,0,0.01,,,0,0.01,,,0,0.01,,,0,,,,,,,,,,,,,,,,,,,,,,,,
192,15.4,Sapindus saponaria,Covered,Unprotected,,12,0.2,0.50,,0.01,0.22,0.17,3,0.033,0.100,7.158,0,0.03,7.158,,,0,0.03,,,0,0.04,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
192,15.4,Cymbopetalum baillonii,Covered,Unprotected,,31,0.5,47.84,0.4,,1.78,0.67,18,2.499,44.990,16.929,0,0.18,16.929,21.474,0,21.474,0.23,39.55,0,39.55,41,,,0,0.14,,,0,0.54,,,0,0.55,,,0,0.24,,,0,0.29,,,0,0.28,,,0,0.16,,,0,0.45,,,0,0.29,,,0,0.27,,,0,0.16,,,0,0.05,,,0,0.14,0.01,0.01,,,,,,,,,,,,,,,,,,,,,
198,15.4,Sapindus saponaria,Covered,Unprotected,,23,0.5,3.81,,0.06,1.39,1.43,5,0.186,0.930,30.895,0.008,0.22,30.903,,,0,0.03,,,0,0.14,,,0,0.26,,,0,0.28,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
199,15.4,Cymbopetalum baillonii,Covered,Unprotected,,17,0.3,2.16,0.12,,0.65,0.18,15,0.081,1.209,7.624,0.005,0.009,7.629,3.989,0,3.989,0.05,6.789,0,6.789,0.08,,,0,0.26,,,0,0.09,,,0,0.06,,,0,0.16,,,0,0.05,,,0,0.12,,,0,0.09,,,0,0.08,,,0,0.1,,,0,0.04,,,0,0.01,,,0,0.01,,,0,,,,,,,,,,,,,,,,,,,,,,,,
200,15.4,Sapindus saponaria,Covered,Unprotected,,24,0.4,2.77,,0.05,1.21,0.94,4,0.143,0.570,34.376,0.35,0.31,34.726,,,0,0.1,,,0,0.13,,,0,0.03,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
