ID,Plot,Species,Aboveground,Belowground,Height (cm),Diameter Base (cm),TotalDryMass,Total Branches (g),Total Petioles (g),Stem (g), Roots (g),TotalLeafMass,LeafAveMass,DryMass.1,DryMass.2,DryMass.3,DryMass.4,DryMass.5,DryMass.6,DryMass.7,DryMass.8,DryMass.9,DryMass.10,DryMass.11,DryMass.12,DryMass.13,DryMass.14,DryMass.15,DryMass.16,DryMass.17,DryMass.18,DryMass.19,DryMass.20,DryMass.21,DryMass.22,DryMass.23,DryMass.24,DryMass.25,DryMass.26,DryMass.27,DryMass.28,DryMass.29,DryMass.30,DryMass.31,DryMass.32,DryMass.33,DryMass.34,DryMass.35,DryMass.36,DryMass.37,DryMass.38
CYBA5,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,11.21,,,4.86,5.62,0.73,0.09,0.04,0.09,0.33,0.14,0.01,0.05,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA6,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,12.65,,,5.28,6.69,0.68,0.11,0.39,0.11,0.09,0.07,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA8,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,6.66,,,2.34,3.93,0.39,0.08,0.22,0.06,0.04,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA13,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,10.09,,,4.88,4.65,0.56,0.11,0.23,0.14,0.07,0.05,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA24,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,6.1,,,2.84,2.6,0.66,0.13,0.41,0.05,0.07,0.06,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA25,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,9,,,5.27,3.35,0.38,0.08,0.13,0.07,0.11,0.06,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA27,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,9.15,,,2.77,2.84,3.54,0.39,0.14,0.09,0.2,0.15,0.05,0.01,0.01,0.03,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA28,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,4.49,,,2.45,1.73,0.31,0.10,0.11,0.12,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA35,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,3.81,,,3.32,,0.49,0.08,0.17,0.14,0.09,0.05,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA38,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,4.61,,,1.98,2.13,0.5,0.07,0.14,0.07,0.09,0.06,0.04,0.06,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA39,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,5.66,,,2.45,2.82,0.39,0.07,0.19,0.04,0.07,0.07,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA40,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,5.21,,,2.28,2.48,0.45,0.09,0.03,0.2,0.13,0.06,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA42,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,11.27,,,5.96,4.77,0.54,0.11,0.25,0.12,0.09,0.07,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA45,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,13.5,,,5.44,6.14,1.92,0.32,0.72,0.82,0.14,0.09,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA46,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,7.51,,,3.65,3.23,0.63,0.16,0.33,0.17,0.07,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA47,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,6.27,,,3.06,2.79,0.42,0.06,0.03,0.11,0.06,0.09,0.05,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBA53,Invernadero,Cymbopetalum baillonii,Invernadero,Invernadero,,,5.48,,,2.66,2.56,0.26,0.04,0.07,0.07,0.04,0.03,0.03,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
